问题,浏览量,关注量,回答量,赞同量,点击率
生理需求为什么会让人上瘾?,55596,108,40,573,18.67
医闹却被医生打服是什么样的体验?,61593,8,1,2358,26.15
李雪健老师已经说不清台词了为什么还在演戏？,39211,8,3,1135,26.47
孩子作业太多，你是会选择帮孩子做作业呢，还是选择让孩子别做了？,76307,236,161,658,7.26
我这个数有没有超过葛立恒数？,51295,44,0,78,26.6
有什么事是你过了很多年突然明白的？,46423,24,1,857,19.71
男生都 26 岁了还买 PS5 ，值得吗?,44331,8,6,445,24.88
男人在乎女人胖吗？,48035,10,5,252,17.99
当全年级第一是什么感觉?,43319,16,1,25603,26.46
哪个瞬间让你觉得编程只是一门技术？,73763,196,58,276,15.55
我现在就想搞钱，有靠谱的路子吗？,40498,43,3,227,11.45
有没有你看之后想安利给别人的悬疑小说？,82708,3,4,862,30.1
如果有一天电脑的x键全世界都不可以使用，会发生什么？,81293,21,18,1624,24.94
有没有你见人就忍不住推荐的甜宠小说，刚升级成了尊贵的盐选会员嘿嘿？,99276,1,3,1729,30.86
鸿蒙系统会替代安卓系统吗？,60199,43,36,427,17.3
有没有超级好看的甜宠小说？,43716,6,4,450,26.89
如何看待现在的晋江文？,39467,17,0,2416,20.33
大S为什么舍弃汪小菲，却再婚嫁给了穷人具老头？她不贪财吗？,51559,5,1,308,26.83
外国人到底喜不喜欢中餐？,61109,26,15,683,22.08
40岁财务自由想找个25左右的媳妇儿有可能吗？,57054,28,2,908,26.85
骂“在公共洗衣机里洗袜子”的人为什么敢吃堂食，不怕得病吗？,67637,17,5,898,12.87
如何找到明天涨停的股票？,45610,48,7,3058,8.56
官方回应金星质疑广州演出被拒，该事件对广州文化演出市场有何影响？,93629,84,69,4087,22.35
为什么我觉得“囍”字有诡异感？,75399,13,2,923,25.32
赵丽颖有机会得金鹰奖吗?,237603,48,38,3603,19.48
武松打虎之前喝了18碗酒，为什么不用1只碗倒18次，而是要放18个碗？,75361,17,17,2218,28.54
写小说应该去哪里好？,48346,34,6,410,6.09
中国一旦攻克芯片难题，芯片会变成白菜价吗？,58292,5,3,524,21.81
为什么佐助后期不用蛇系忍术了?,108483,43,10,584,25.37
说说你听到华为吹的牛?,67580,21,14,3288,23.11
如果只有一天时间玩成都，你推荐哪条线路？,58754,124,25,733,14.56
13岁画成这样是不是天才？,70711,10,5,1588,23.75
《盗墓笔记》和《鬼吹灯》哪个好看？,95620,40,9,1978,13.27
拳击手赛前真的需要禁欲吗？,77089,14,2,150,16.27
电影《周处除三害》到底表达了什么？,66963,10,6,1638,28.16
什么才是真正的爱情？,48182,42,4,769,14.93
如何评价 2024 CCF CCSP 大学生计算机系统与程序设计竞赛？,77386,111,29,440,14.66
有没有好看的娱乐圈言情小说？,72562,1,1,756,21.61
亲生父母突然来认亲怎么办？,48668,7,5,1847,28.02
如何评价2024年10月米哈游《崩坏星穹铁道》2.6歌曲《蕉蕉小猴》？,102140,21,20,2272,28.08
三十岁的老公天天打游戏怎么办?,62827,10,3,379,22.26
你见过最无用的节俭行为是什么？,75031,7,3,240,26.74
如何看待美国说唱巨星“吹牛老爹”半月前被捕，曝出疯狂派对性丑闻涉及未成年、毒品…...牵扯众多明星？,154154,53,9,909,23.26
辐射4世界里为什么两百年过去了都没能形成国家？,90003,47,13,2290,24.45
《海贼王》里有哪些你认为本应是牛刀，但只被用来杀鸡的设定?,63032,9,7,1863,24.3
相亲男背后评价人长相，是没品吗？,55989,29,18,515,26.97
情绪稳定的人到底是什么样子的？,140119,426,96,1197,14.99
为什么现在游戏玩家这么想要简体中文？,80586,27,8,2528,25.21
有没有那种破镜重圆的小说推荐呀？,48774,10,1,417,27.68
为什么冯巩在相声圈的地位很高？,75379,4,2,651,26.99
孙悟空是不是吹过了，他其实并不强？,62413,5,3,1450,17.46
河村勇辉算是宫城良田走进现实吗？,124250,82,48,743,12.84
综艺《心动的信号 7》中，翁青雅真的会爱彭高吗？,56645,15,4,215,21.37
iPhone 到底爽在哪里？,60053,13,7,917,7.18
为什么有人觉得浙江很有钱？,67025,16,7,431,22.32
印度食物真的脏吗，吃了会拉肚子吗？,88276,15,16,735,22.92
炒股养家这种游资大佬会被某些强人盯上侵夺家产吗?,59014,35,2,356,22.61
对于明星来说营销真的有用吗？,51007,9,10,1299,22.69
各位压箱底的好文分享一下吧！求推疯狂安利的大女主小说？,104243,2,1,911,39.05
为什么郭德纲从来不敢跟于谦闹矛盾？,60176,4,2,279,20.18
TheShy 称 2025 年将复出，你觉得他会去哪支队伍？,91961,16,13,239,23.86
税务局真的有那么惨吗?,95523,19,0,413,23.09
为什么大部分儿媳妇会讨厌婆婆？,46182,11,5,242,26.64
如何评价 2024 年 10 月米哈游《原神》 5.1 剧情《命定将焚的虹光》？,114132,40,20,3481,22.12
甄子丹为什么没有李连杰红?,55002,20,12,863,20.23
买房后你快乐吗？,66315,23,3,278,21.07
什么是微软式中文？,68716,15,3,1506,27.24
体制内领导逼你签不该签的字怎么办？,45292,9,1,604,24.05
穿长筒靴的大学生多吗？,38820,31,4,209,24.86
产妇羊水栓塞使用6万毫升血液救回，被部分人口吧吧友质疑是“大小姐”。普通人可以使用6万毫升血液吗？,48359,7,3,2541,21.96
古代妓女为什么不杀了鸨母?,50575,15,6,482,27.15
如何评价蔡澜在回答「最想让哪道菜消失」时说火锅，说火锅是最没文化的料理？,44235,18,9,690,21.89
二战时期你拥有一吨青霉素，能带来多大的收益？,54514,12,5,1510,24.62
为什么外面的饭菜都很好吃？,49293,9,4,166,24.49
到了5.1该如何评价叉子的愤怒文?你同意他的说法吗？,60907,74,71,1686,20.18
什么样的空调更省电？,174816,88,77,237,2.2
几千年来，为什么游牧人不去打欧洲，非要和我们过不去呢？,47324,33,5,654,23.74
你认为日本的所谓「煮饭仙人」、「天妇罗仙人」、「寿司仙人」是否是一种泡沫？,42705,32,29,2600,23.0
你曾经无意间撞到过别人的哪些秘密？,78754,6,1,997,19.61
我可以艺考吗？,53249,44,0,215,8.54
老婆体制内国家公务员，出轨了她单位领导，如何报复最好?,49513,16,5,1308,25.92
苏武在贝加尔湖牧羊，条件恶劣，挖食鼠粮草根为生，他为什么不吃羊？,58840,17,4,1282,24.65
在小公司编程是一种什么样的体验？,70611,14,5,259,23.8
古代的丫鬟最好的出路是做小妾吗？,90863,2,2,1017,24.12
中科院院士不提倡健康人做癌症筛查，每多做一次 CT 患癌风险增加 43%，其背后的原因是什么？,52723,58,13,569,15.78
小米为什么一定要把徕卡看的那么重?,63964,8,5,282,18.91
你在作文里撒过哪些谎，可以讲一讲吗？,56498,18,10,1710,22.87
如何评价英国国王查尔斯三世加冕后的首张官方肖像油画？,59461,8,2,635,25.74
假如你是一名永生者，你会怎样做才能避免自己的身份暴露？,64403,21,5,515,10.58
体制内怎么能知道同事有没有后台?,51723,16,2,496,23.73
怎么才能让山西雄起？,52601,24,14,545,23.78
现在大家的皮鞋跟下面为什么不装铁掌了？,154861,28,23,439,26.72
美国华人被打了为什么不敢反抗？,58341,12,3,3446,30.09
为什么游资天天拉涨停却没有人成为世界首富？,46099,38,4,318,18.75
有没有好看的青梅竹马小说？,104685,4,3,1169,29.41
有没有男主糙汉女主娇软的文啊 1v1的那种？,48872,5,0,677,24.79
有没有超级带感的强取豪夺型小说？,43410,6,1,530,25.85
人活着为什么要读书呢？,99584,110,40,2338,21.56
有没有你见人就忍不住推荐的青梅竹马小说？,59638,1,0,612,39.43
为什么严宽长得那么帅却红不了？,55680,1,3,100,31.28
为什么越温柔有教养的男生越难追？,44886,25,4,884,23.69
班主任无故搜我身，我拒绝然后就走了，面临劝退该怎么办？,87506,19,10,3326,25.82
张本智和不能回国效力吗？,81287,22,17,2340,26.55
古代世家大族虐杀自己的丫鬟犯法吗？,96498,10,3,527,28.94
FPX究竟犯了什么罪了，世界冠军难道不值得被人铭记吗？,48350,7,8,258,24.64
如何评价游戏《炉石传说》？,69999,10,8,276,25.88
一次性能拿出120万存款的家庭，在国内还有多少呢？,96542,16,0,466,20.54
为什么老司机都建议尽量不买SUV车呢？,58542,16,8,167,18.55
为什么LPL的小天才们菜得一批，反观LCK的新人选手，出道基本都不菜？,72753,7,8,323,26.67
中国也有自己的火箭回收技术，为什么没有引起轰动？,124730,51,43,3319,22.41
我删掉相亲未成功的妹子，妹子发现后怨气很大。我是不是失礼了？,60479,24,5,855,27.88
为什么现在人对明朝那么看重？,52066,76,45,3170,22.94
一些穿越者为何如此执着于回到原来的世界？,56072,11,7,828,13.15
大叔是喜欢少女还是少妇？,50567,16,3,253,26.92
有没有超级好看的大女主小说？,64456,6,1,579,31.72
什么时候家人让你觉得心凉？,41637,4,3,171,19.48
你觉得《斗破苍穹》哪一章文笔炸裂？,91591,9,1,1157,25.66
综艺节目都是演出来的吗？,59993,12,4,452,22.68
《毒液：最后一舞》作为「毒液」系列的最终章质量如何？你满意吗？,110245,86,51,376,7.11
出轨的双方一般是用什么联系？,66675,20,9,66,29.18
百度还有希望崛起吗？,44681,10,7,816,22.98
有哪些超级好看的草根小说？,97019,0,2,1087,34.16
感觉男朋友对我有些小气要不要分手？,44625,19,5,119,21.09
为什么普遍认为《反叛的鲁路修》是神作，而《进击的巨人》被认为不如它？,60833,27,10,940,20.35
博主爆料「EDG中辅教练均被解约，不再大投入，改️瓦」，是什么原因，S14若LPL夺冠，会有改观吗？,156476,14,7,1067,24.07
有哪些正中你的好球带的追妻火葬场小说？,61282,3,1,573,37.48
有没有好看的古言打脸爽文！！！?,107136,3,1,1185,32.77
宠物知道你是在照顾它吗?,45509,11,2,2304,20.25
《哈利·波特与密室》中，邓布利多为什么要聘请草包洛哈特当黑魔法防御课的老师？,56392,18,14,1212,24.15
有没有超级无敌好看的穿越文！！！?,58344,16,4,1265,20.08
Faker 真的值得这么多中国粉丝追捧吗？,74119,12,7,902,23.95
双方父母都是直发然后生个小孩是卷发，然后做了亲子鉴定女方要提出离婚，为什么呢？,60197,11,7,3160,27.57
老公和女同事的聊天记录，没有明显的暧昧，但我看了心里不舒服，请问大家这算暧昧吗？,97768,9,0,107,24.55
人性可以阴暗到什么程度？,57635,6,1,438,14.49
相声圈有哪些烂事儿？,63879,7,4,411,27.9
为什么说不懂电脑的不要碰AMD？,51885,13,5,305,21.87
比亚迪真的是公路坦克吗？,91940,8,2,1904,28.35
光刻机巨头阿斯麦业绩「暴雷」，Q3 订单数据仅为市场预期的一半，股价跌超 16%，哪些因素影响的？,151183,67,13,2961,17.45
江西男儿面对彩礼问题如何破局？,44848,19,17,1151,31.68
《英雄联盟》脚本可以强到什么程度，能被一眼看穿那种？,102699,8,8,938,29.69
有亲哥哥是什么感觉？,41276,3,0,906,28.89
2024年双11，学生党想换手机，有没有哪些高性价比的安卓手机值得推荐？,92726,131,96,496,1.79
武松杀嫂，为什么要先扯开她的胸衣，多此一举还是另有深意？,63281,13,5,908,15.04
初二画成这样是不是天才?,80965,27,4,407,17.12
电脑城熟人一万三配的电脑，大家看看被坑了没有?,41084,14,8,128,19.43
如何评价《伯克利物理学教程》？,117612,230,9,812,17.17
昆明一学校疑给学生吃臭肉，官方通报「学校校长被免职，食堂承包商被罚 578 万」，此事有何警示意义？,751389,711,451,15633,15.6
为什么鸳鸯宁死也不给贾赦做妾？她是真的不愿做妾吗？,61489,18,9,1343,25.5
你第一次心动的那个人，现在还会心动吗？,31715,1160,1124,487,14.28
《哪吒闹海》中哪吒扰民在先，人家找他理论，他杀死人家还侮辱尸体，这种恶劣的行为为何却被美化成了主角？,46262,27,7,1530,21.94
男子高空抛物致死案被核准死刑，立即执行，从法律角度如何解读？此案起到了哪些警示？,1084960,806,361,5539,13.8
亲姐弟之间需要避嫌吗？,45563,7,4,87,19.92
汉人打不过外族是因为儒家思想吗？,48340,10,4,2876,27.66
可以在故宫博物院穿汉服吗？,63422,22,19,3223,26.66
在公司里挨几句骂就辞职的打工人，是不是没被社会毒打过？,55075,22,4,688,22.39
金价上涨，谁在赚钱？,103483,133,49,288,9.84
为什么总有逃犯在几年后落网，如果心思足够深，是否可以换个身份从头开始？,101960,10,3,924,21.68
儿子儿媳不让我们看孙子，想孙子了怎么办？,48086,15,9,1012,30.11
女生体毛旺盛是什么样的体验？,114602,19,5,255,26.63
人老了后，什么是最惨的？,46518,9,2,531,18.9
如何评价长城汽车年销400w的目标？,54789,16,13,1890,23.95
著名的设计失败的汽车有哪些？,85418,11,2,1157,28.7
医生如果在给病人动手术的时候发现病人肚子里其他器官有问题，会直接治了吗？,62984,5,3,1380,19.21
得了抑郁症的人眼神是不是都是一样的？,73643,11,4,347,23.07
社会是怎么运转的？,37649,103,14,583,15.1
怎么评价郭德纲的书房？,64308,4,3,999,26.05
为什么会有人喜欢经常出差呢？,56370,48,17,268,20.98
十年了，为什么 Faker 还是可以这么强？,116311,9,8,1824,23.77
现实中有没有类似「北乔峰南慕容」这样表面齐名，但实际上才器相差甚远的例子？,109895,40,27,796,20.66
如何解读「人类的悲欢并不相通」？,60227,4,2,2715,27.27
我怀孕了，但是男朋友想做亲子鉴定，你们能接受吗？,59978,16,4,534,23.09
怎样评价周深在《声音河流》音乐会上唱的主题曲？,96486,48,37,6422,20.93
为什么中国很少有人穿三件套西服？,45974,11,5,1260,25.59
你见过最可怜的人有多可怜？,60462,7,2,790,19.0
婴儿整天躺着不会无聊吗？,52308,23,8,576,21.59
男人的魅力到底是什么？,42843,50,2,491,15.85
男朋友出轨了，心里不舒服，舍不得分手，也不想耗着，到底该怎么办呀?,35171,1147,1083,494,12.61
为什么《水浒传》特别真实？,60178,27,0,821,26.65
你有什么一看就想笑的图片？,99395,3,1,1287,28.4
国外有没有类似“唐”这种用疾病来做侮辱性标签的亚文化？,104998,26,6,3069,29.2
什么样的家庭最令人窒息？,72066,20,5,855,20.34
怎样提高说话时的瞬时反应能力？,42575,47,1,302,20.38
室友睡过头你会喊他们吗?,43189,6,0,712,21.99
为什么著名物理学家张首晟要选择跳楼自杀？,51806,45,2,246,21.12
为什么很多人钓鱼钓了一网兜最后全部放生？,50590,4,1,873,24.42
手工耿为什么不找个厂上班?,58451,18,7,451,24.99
32岁，一周四练，健身3年，依然没效果，请问问题出在哪？,40991,10,3,61,18.42
马丁老爷子《冰与火之歌》在他有生之年还能写完吗？,75342,28,7,423,21.97
一个人究竟可以贱到什么程度？,47295,2,1,388,22.23
哪一句话让你沉默了很久？,60476,1,2,987,14.95
中国死刑是否每天都有死刑犯被执行死刑了？,166167,12,3,1013,34.19
如何写一个反俗套的穿越故事？,51700,13,1,864,20.66
有哪些特别值得推荐的悬疑小说？,102627,6,2,818,31.45
如果三国演义全员二周目，故事会如何发展？,45063,8,2,1001,25.53
为什么范冰冰被封杀没有影响到范丞丞？,171009,3,1,1183,23.62
你经历过哪些「事故」，才有了随时备份数据的习惯？,85793,25,3,815,6.66
你听过的最可爱的拒绝是什么？,53983,9,1,2146,26.07
人能坏到什么程度？,74749,12,2,391,18.7
为什么学霸的家长经常说“我不用管孩子学习”？这是真的吗？,43832,56,35,1282,20.6
如何看待天水麻辣烫爆火?,71190,11,4,3564,26.71
如何评价福原爱？,54489,6,1,153,30.39
有没有男主温润如玉的强取豪夺的小说？,50647,2,0,659,22.81
你和同学竞选班长最后你成功当选，他落选哭了这时边上的人都起哄:你看他都哭了你还当吗？这时你会怎样处理？,50784,18,9,1106,19.82
在研究生复试中把面试导师逗乐是个什么体验?,79896,6,0,1751,22.17
为什么公务员这么喜欢穿夹克？,131482,33,20,2467,26.8
为什么现在癌症患者这么多？,41574,35,11,271,19.62
在国内，德州扑克涉赌被禁，而麻将几乎是公开赌博为什么不被禁？,76518,30,21,480,23.22
《狂飙》中程程有没有被李宏伟强奸?,137650,2,0,585,19.37
数学史上你认为最丑陋的公式是什么？,48742,14,0,568,22.11
为什么我们不被允许有gap year？,46622,36,2,652,23.6
怎么看小燕子的风评开始好转了？,60976,22,13,2601,22.64
你是p社玩家，你马上要被你的人民吊死了，为了活下来你会如何为自己辩护？,46858,21,10,3748,25.77
一直不上班是什么感觉？,85194,32,5,580,17.03
最近沉迷先婚后爱小说，有没有同好砸文交流亿下～，最好是让人欲罢不能的？,134087,1,1,1726,43.04
为什么脱口秀冠军不火，而李雪琴却火的一塌糊涂？,85825,11,4,278,25.17
把一副烂牌打好的女主有多厉害？,68812,3,2,578,15.4
如何看待深圳“一线有房”相亲局？,141110,12,5,990,26.87
英雄迟暮是怎样的？,60817,32,6,734,24.81
李小龙为什么会短命？,83560,18,5,514,23.54
为什么熊猫丫丫被虐待的证据这么足，还有人想企图洗白！?,61917,24,15,3855,23.42
有点想看白月光小说，有没有朋友们推荐下？,54618,0,2,400,36.71
为什么很多家庭一到过年就吵架？,54496,13,2,571,27.33
你看过最爽的爽文是什么？,47713,9,4,338,20.85
男朋友第一次去我家 就跟姐夫打起来了 还应该继续下去吗?,55540,14,0,171,29.71
为什么我很难get到陈都灵的颜？,66895,16,6,929,27.62
人需要掏耳朵吗？,139049,7,1,666,17.97
为什么后宫中嫔妃们一定要争宠？,49477,0,2,497,25.58
什么样的领导会把员工用废？,38807,19,7,408,17.61
很多小学都设立了心理咨询室，现在的小学生压力到底有多大？,59491,211,92,635,13.22
目前看，《海贼王》是否大概率烂尾了？,55989,5,2,1112,21.33
为什么说小米宣传海报小字比大字重要？,122455,19,8,2897,29.18
中国真实买得起奔驰e的家庭年收入得多少？,71250,13,8,216,22.3
人类为什么几乎不食用肉食动物的肉？,104111,20,14,2954,24.9
不考研和考研的人最后工作差距会很大吗？,107614,152,62,482,8.66
如何评价《人民的名义》里的陈岩石？,43452,8,5,1083,22.26
工作内容一致，但自己工资比别人低好多，心里不平衡，这份工作还要继续吗？,65219,207,147,450,8.36
在感情里，及时止损的女生有多绝？,46602,25,11,518,20.2
为什么商鞅死后名声非常差？,48287,27,8,1871,20.8
姐弟恋是一种什么样的体验？,40803,19,4,616,15.73
太毁三观了，教材里居然加入了二维码，扫码付钱才能解锁新知识，你怎么看？,66361,79,46,1125,21.57
哪个反派角色，让你完全恨不起来？,41483,8,4,385,30.07
吴谢宇被捕后为什么不回答自己弑母的动机？,48570,5,1,165,21.5
去过老挝后你最大的感受是什么？,58323,5,1,112,32.61
围棋理论上最少多少步分出胜负？,80877,65,26,374,20.6
你见过哪些离谱的汽车改装？,62539,3,1,980,27.79
有没有超甜的小甜文啊?,50457,6,0,798,23.08
有哪些能够反映日本人思维古板的真实案例？,43149,12,1,844,26.8
有哪些令人印象深刻的天涯论坛讨论帖?,52242,27,1,423,23.29
美国纽交所宣布将延长美股交易时间至每个工作日 22 小时，如何看待这一变动？将产生哪些影响？,86024,114,61,771,19.19
雷军的每一分钱都是干净的吗？,74193,19,6,227,27.14
为什么我看泰森打拳并没有觉得他很强?,65983,8,7,646,27.0
有没有快灭绝，最后被人类救活的植物？,80065,15,1,684,24.9
猫单独待在家会感觉孤独吗？,85078,122,79,576,10.23
你觉得杭州这座城市怎么样？,43059,15,6,294,24.34
有哪些女主不是傻白甜的小说?,45037,3,0,102,27.31
有哪些同人玩不过官方的例子？,41639,19,2,1719,26.72
大家觉得佐助好看还是鸣人好看？,67844,8,1,733,28.7
星穹铁道中天才的部分设定是否过分夸大了？,62607,10,10,1629,26.93
哪个瞬间让你明白了你父母根本不爱你？,48295,12,0,749,20.28
汪涵是内地反应最快的主持人吗？,42842,7,4,1122,22.55
你认识的有钱人是怎样生活的？,54400,7,3,413,25.35
第一部《变形金刚》电影为什么那么好看？后来为什么口碑一直下滑?,79486,21,7,1272,22.2
书荒求助，想要点让人看完会回味许久的复仇小说，要好吃的？,71475,2,5,514,40.59
真正的放下是删除好友还是避而不见呢？,37452,962,960,504,13.64
章泽天的这副牌怎么打下去才是最优解？,41925,13,5,283,25.46
有哪些让人看了就停不下来的言情小说？,38160,0,5,440,31.19
微信打电话和直接打电话有什么区别吗？,94215,19,1,171,17.94
现在成龙周星驰的地位还有黑社会敢动他们吗？,89074,10,0,302,32.13
大龄剩女为什么会被杀猪盘收割？,49641,22,10,1020,31.87
有哪些你看之后想安利给别人的病娇小说？,39457,4,4,584,31.98
为什么黄河入海口没有形成大城市？,83832,26,11,5547,27.02
什么是后现代（Postmodernism）？,50735,48,10,1707,26.55
《狂飙》里徐江的儿子妥妥的富二代，为什么要去电鱼？,78710,7,1,2043,23.82
用 A4 纸记录一个 G 的数据需要多少钱？,91228,2,1,308,25.87
有没有男主是医生的言情小说？,43757,2,0,578,29.1
为什么散户拿不住股票？,51909,28,9,221,16.44
男人为什么到了一定年纪就喜欢喝酒？,49056,28,14,612,23.55
公立幼儿园与私立幼儿园最大的区别是什么？你会怎么选？,94450,151,66,377,10.2
德云社烧饼为什么不火?,69585,1,2,153,25.12
深圳真实税后收入是多少？,47186,18,4,161,22.22
单片机学到什么程度才可以去工作?,55230,112,5,284,23.48
为什么越对一个人好，他就会越觉得理所当然，认为为他做的什么都是应该的？,78346,337,80,1234,10.01
《火影忍者》中的斩首大刀为什么能跟另外六把忍刀齐名？,74280,12,9,1014,25.84
雷军为什么有小米情结？,39071,5,0,953,29.9
下班到家孩子就要睡觉了，作为职场妈妈，如何给孩子更有效的陪伴？,56667,250,118,703,6.46
为什么陈志武，但斌强烈看空这轮中国股市暴涨?,62467,54,12,520,22.89
你认为你见过的最霸气的图片是哪张？,66980,6,0,2175,30.18
大学的女生公共浴室会有人用针孔偷拍吗？,74681,17,1,950,26.18
体制内开会漏通知一个单位怎么办？,89145,4,2,355,27.59
在网上看到一个永动机，以本人学识水平看不出破绽，这是什么原理?,91929,9,4,1486,31.36
经历了上一轮14牛的牛市的前辈，现在都如何了？,46040,31,18,220,25.44
为什么俄罗斯的数学那么强？,70868,44,1,3358,23.55
稚嫩的魔法师有哪些经典语录？,72306,36,8,1467,25.22
你曾看到空乘做过的最傻的事情是什么？,47755,7,2,389,31.59
本科答辩不过的都是什么情况的?,90840,6,1,2533,26.15
为什么日本人晚上那么晚去居酒屋吃炸鸡喝啤酒，但街上却鲜有胖子？,99352,9,3,834,18.37
有没有什么沙雕小说推荐一下？,53855,4,1,860,31.26
为什么51岁后的赵本山能有《不差钱》等新作品，51岁后的郭德纲却只会摆烂装大师？,82220,32,29,1691,23.6
有哪些东西是你读博士以后才懂的？,60978,25,3,705,21.34
《英雄联盟》为什么不把女警的夹子设置成可隐形的呢？,97883,9,8,1471,26.98
如何评价演员张晚意？,113452,15,12,765,20.33
潜伏中吴站长为什么一直护着余则成？,110375,15,8,1827,24.46
为什么感觉《潜伏》里余则成当了副站长和之前一样没什么权力威信？,84530,21,4,1257,27.85
1979年东北四市（曾为三市）为什么从东三省划回给内蒙古?,73853,33,4,1648,23.29
真的会有人信国乒人脉姐的存在吗?,51972,6,0,163,24.62
面试被问「是否接受加班」时，如何回答可以既表达原则又不扣分？,73742,172,124,441,7.74
沈腾马丽主演的电影《抓娃娃》有哪些细思极恐的教育问题？,67838,14,12,919,18.37
什么是文字的张力？,66096,135,4,1356,19.23
老公意外去世，死亡赔偿金一共赔了120万有，房子 车子都是婚后财产，现公婆起诉分割？请问我怎么应诉？,64564,13,4,130,22.19
政府办公室让你通知领导去开会，领导（副职）拒绝了，你（身份是普通雇员）夹在中间该怎么办？,125853,63,32,2169,23.35
国乒是否后继无人了，下届2028可能谁上？,83439,22,12,1210,26.72
你身边的癌症患者都是怎么发现自己得癌的？,89926,20,2,806,19.59
《如懿传》为什么说打工人都要避开大如这种领导？,79300,43,14,632,21.04
酒店为什么会有三小时钟点房？,108901,20,12,283,19.71
樊振东还会上25年世乒赛单打吗?,52811,19,14,711,32.42
电影《绣春刀》最后，沈炼为什么放过了丁修，没杀了他？,57391,6,8,594,24.14
有哪些打脸绿茶的爽文？,45593,13,0,1968,26.75
大家有没有发现肖申克的救赎中的漏洞？,70082,4,2,336,22.37
国企的领导在社会上是算官还是算商?,45279,9,2,357,25.37
为什么旅行车（Wagon）在中国不受欢迎?,77035,9,8,1347,29.24
你见过最惊艳的玄幻小说等级制度是什么？,69027,23,0,903,25.23
各位压箱底的收藏让我访问一下吧！求推让人看完惊呼好看的言情小说？,67931,0,2,445,41.08
涮火锅女友不吃香菜，我涮了一下就捞出来，因此大吵，合理么？,40730,19,19,1390,21.92
电影《周处除三害》中你们是什么时候意识到这个组织不对劲的？,54003,9,4,2240,22.72
高校教职现在卷到什么程度了？,70612,64,12,474,21.3
有没有特别好看的复仇小说？,51955,4,1,7,29.23
为什么总有人会认为是清朝贡献了现在版图？,38230,27,18,595,19.95
古代的老百姓明明活的很惨，为什么还会有莫笑农家腊酒浑，丰年留客足鸡豚，这样的诗句？,75171,26,3,1784,22.83
《英雄联盟》里哪些技能看起来像是凑数的？,106407,2,2,189,27.76
有没有什么让你念念不忘的古言推荐？,54689,1,1,717,30.29
宋江为什么不夺取皇位选择招安?,63649,45,41,1122,17.79
李咏为什么去美国治疗癌症？,70954,2,1,207,19.82
为什么90年代至今的日本动漫中，「辣妹」角色的人物形象普遍好转？,44329,9,2,970,29.54
如何看待阿斯麦asml股价暴跌16%创26年来最大跌幅?,112763,43,23,1366,17.4
你读过的最让人心酸的句子有哪些？,70305,8,3,2595,27.31
健身最忌讳什么？,68533,41,23,408,20.64
懒得去找了，求大佬推文，想要好看到忍不住的以婚姻为背景展开的故事？,70596,1,4,747,37.08
哈莉奎因是怎么变成这些年美漫女性力量符号的？,52283,20,4,1458,27.19
古人为什么会有“疽发背而死”？现在还有人得这种病吗？,139505,7,1,1506,22.53
为什么真人版的毛利兰都没有角？,76223,2,2,851,27.99
如何证明你是一个P社玩家？,68328,14,5,2494,28.11
父母因意外去世，自己刚上大学，留下2岁的妹妹，和110w存款。接下来的路该怎么走？,50638,33,8,934,14.59
《活着》的福贵经历了那么多苦难，为什么从来没有选择自杀？,46559,21,3,851,19.72
为什么有人会认为理想汽车是工业垃圾？,53289,5,1,255,24.74
《斗破苍穹》里的美杜莎是不是一个悲剧？,43115,5,2,750,23.23
李子柒为什么消失得这么彻底？,93703,10,0,883,22.29
刘畊宏用周杰伦的歌构成侵权吗？,96931,2,1,197,18.99
如何评价河北旅游口号“这么近，那么美，周末到河北”？,74272,15,8,3538,24.28
网上传的三不娶：教师，护士，银行女。为什么有这三个不娶的说法？,47130,21,7,521,21.65
房子跌了快一半了，还卖吗？,55301,42,18,507,22.26
潮汕真的有那么不堪吗?,67707,24,2,1353,23.01
知乎上有哪些能让人笑掉头的沙雕小说？,46731,2,0,689,28.7
是基因重要还是以后的教育很重要？,61212,36,13,1038,20.7
蓝洁瑛那么漂亮为什么没有人爱她?,165857,21,4,1384,26.31
为什么现在工资越高的人，买手机都是两三千块的，反而工资越底的人，要买六七千或八九千的手机？,43207,9,4,192,9.84
有什么百看不厌甜甜的睡前故事?,55424,1,5,732,17.96
古代男人可以通过毁掉贵族女子名声的方式高攀千金小姐吗？,45633,2,4,2018,26.61
为什么一些名演员例如演员张译演技越来越差？,63768,17,11,265,26.3
如何看待 93 年女生拥有 400 栋楼这件事，是真是假？,95814,40,16,862,28.28
如何评价武大辩手黄思晗？,70763,12,1,1655,28.54
为什么《我的团长我的团》在电视上很少播出？,82256,25,14,846,20.86
国企员工离岗 16 年还能回归，长期离岗却仍「参保」是否合理？既然企业照常运转，那些「空岗」是否冗余？,88923,177,82,718,7.96
妻子是精神出轨吗？,41439,12,4,56,32.79
真正治愈你的是什么？,35121,567,409,377,12.36
仙侠文里，真正的大女主是什么样的？,52006,21,6,1384,22.02
为什么会有深湖比深海更可怕这种说法？,114017,31,5,1649,21.71
为什么说“世界是个巨大的草台班子”呢？这句话有道理吗？?,74141,50,7,614,20.61
有没有超级好看的复仇小说，刚升级成了尊贵的盐选会员嘿嘿？,91803,0,1,927,37.74
时间和空间是连续的还是有最小尺度？,58282,202,60,603,12.48
